sql_prompt,sql
average salary athlete final mvp award basketball,SELECT AVG(Athletes.Salary) FROM Athletes INNER JOIN Awards ON Athletes.AthleteID = Awards.AthleteID WHERE Awards.Award = 'Finals MVP' AND Athletes.Sport = 'Basketball';
many community development initiative completed state india,"SELECT state, COUNT(*) FROM community_development WHERE completion_status = 'completed' AND state IN ('Uttar Pradesh', 'Maharashtra', 'West Bengal', 'Andhra Pradesh', 'Tamil Nadu', 'Karnataka', 'Gujarat', 'Rajasthan', 'Bihar', 'Madhya Pradesh') GROUP BY state;"
number physician per 1000 people brazil,SELECT DoctorsPer1000 FROM Doctors WHERE Country = 'Brazil';
find total donation org 2020 cross join,"SELECT o.OrgName, SUM(d.DonationAmount) FROM Organizations o CROSS JOIN OrgDonations d WHERE o.OrgID = d.OrgID AND d.DonationYear = 2020 GROUP BY o.OrgName;"
policyholder claim state,SELECT p.Name FROM Policyholders p LEFT JOIN Claims c ON p.PolicyID = c.PolicyID WHERE c.PolicyID IS NULL;
many highrisk security incident retail sector last month,SELECT COUNT(*) FROM incidents WHERE sector = 'retail' AND risk_level = 3 AND date >= '2021-01-01' AND date < '2021-02-01';
average agricultural innovation investment per rural infrastructure project africa,SELECT AVG(a.cost) FROM agri_innovations a JOIN rural_projects r ON a.project_id = r.id WHERE r.country LIKE 'Africa%';
total number vulnerability found last quarter segmented severity,"SELECT severity, COUNT(*) as vulnerability_count FROM vulnerabilities WHERE discovered_date >= DATEADD(quarter, -1, GETDATE()) GROUP BY severity;"
many space mission successfully completed spacecraft manufactured usa,SELECT COUNT(sm.id) FROM SpaceMissions sm JOIN Spacecraft s ON sm.spacecraft_id = s.id WHERE s.country = 'USA' AND sm.status = 'successful';
maximum number marine specie observed single day arabian sea,"SELECT MAX(number_of_observations) FROM marine_species_observations WHERE ocean = 'Arabian Sea' AND observation_date BETWEEN '2000-01-01' AND '2022-12-31' GROUP BY ocean, DATE_TRUNC('day', observation_date);"
show number game team nbagames table,"SELECT home_team_id AS team_id, COUNT(*) AS games_won FROM nba_games WHERE home_team_points > away_team_points GROUP BY home_team_id UNION ALL SELECT away_team_id, COUNT(*) FROM nba_games WHERE away_team_points > home_team_points GROUP BY away_team_id;"
average investment rural infrastructure project africa 20182020,"SELECT AVG(investment) FROM infrastructure_projects WHERE country IN ('Kenya', 'Nigeria', 'South Africa') AND year BETWEEN 2018 AND 2020;"
healthcare access score rural area africa 2018,SELECT Score FROM HealthcareAccess WHERE Location = 'Rural' AND Continent = 'Africa' AND Year = 2018;
ratio booking cultural heritage site virtual tour,SELECT COUNT(*) / (SELECT COUNT(*) FROM bookings WHERE tour_type IN (SELECT type FROM tour_types WHERE category = 'Virtual')) AS ratio FROM bookings WHERE tour_type IN (SELECT type FROM tour_types WHERE category = 'Cultural Heritage');
minimum ocean acidity level ever recorded caribbean sea grouped measurement month,"SELECT month, MIN(acidity_level) FROM ocean_acidity_records WHERE ocean = 'Caribbean Sea' GROUP BY month;"
many cyber attack attributed threat actor group last year,"SELECT threat_actor_group, COUNT(*) as total_attacks FROM cyber_attacks WHERE attack_date >= DATEADD(year, -1, GETDATE()) GROUP BY threat_actor_group;"
average duration mission astronaut completed 3 mission,"SELECT AVG(DATEDIFF(day, MISSION.assignment_date, LEAD(MISSION.assignment_date) OVER (PARTITION BY ASTRONAUT.id ORDER BY MISSION.assignment_date))) as average_duration FROM Astronauts ASTRONAUT JOIN Astronaut_Missions MISSION ON ASTRONAUT.id = MISSION.astronaut_id WHERE ASTRONAUT.mission_count > 3;"
many football team soccerteams table,SELECT COUNT(*) FROM soccer_teams WHERE sport = 'football';
average depth ocean floor pacific ocean,SELECT AVG(depth) FROM ocean_floor WHERE ocean = 'Pacific';
total number system high critical vulnerability last year,"SELECT 'total_high_critical' as type, COUNT(*) as count FROM VulnerabilityAssessments WHERE vulnerabilities >= 7 AND assessment_date >= DATE_SUB(CURRENT_DATE(), INTERVAL 1 YEAR) UNION ALL SELECT 'total_critical' as type, COUNT(*) as count FROM VulnerabilityAssessments WHERE vulnerabilities = 10 AND assessment_date >= DATE_SUB(CURRENT_DATE(), INTERVAL 1 YEAR);"
calculate percentage employee received promotion last 90 day display result one decimal place,"SELECT ROUND(COUNT(*) * 100.0 / (SELECT COUNT(*) FROM Employees) , 1) AS PromotionPercentage FROM Employees WHERE PromotionDate >= DATEADD(day, -90, GETDATE());"
top 3 deepest underwater trench depth,"SELECT trench_name, depth FROM (SELECT trench_name, depth, RANK() OVER (ORDER BY depth DESC) as trench_rank FROM underwater_trenches) t WHERE trench_rank <= 3;"
many whale sighting recorded north atlantic 2020 2021,"SELECT COUNT(*) FROM whale_sightings WHERE species = 'whale' AND region = 'North Atlantic' AND year IN (2020, 2021);"
maximum age patient received johnson johnson vaccine new york,SELECT MAX(y.age) FROM patients y INNER JOIN vaccine_administered a ON y.patient_id = a.patient_id WHERE a.vaccine_name = 'Johnson & Johnson' AND a.state = 'New York';
identify number spacecraft component produced manufacturer african continent,SELECT COUNT(*) as component_count FROM Spacecraft_Components COMPONENT JOIN Spacecraft_Manufacturers MANUFACTURER ON COMPONENT.manufacturer = MANUFACTURER.manufacturer_name WHERE MANUFACTURER.location LIKE '%Africa%';
average point per game scored player united state,SELECT AVG(points_per_game) FROM players WHERE country = 'USA';
select marine research grant 100000 researchgrants view,SELECT * FROM research_grants WHERE amount > 100000;
total local economic impact tourism brazil,SELECT SUM(impact) FROM local_impact WHERE location = 'Brazil';
list top 3 otas online travel agency highest number hotel listing new york,"SELECT name, num_hotels FROM OTAs WHERE city = 'New York' ORDER BY num_hotels DESC LIMIT 3;"
donor contributed 700 donation table,"SELECT DonorName, Amount FROM Donations d JOIN Donors don ON d.DonorID = don.DonorID WHERE Amount > 700;"
top 3 deepest oceanic trench,"SELECT trench_name, avg_depth FROM (SELECT trench_name, avg_depth, ROW_NUMBER() OVER (ORDER BY avg_depth DESC) as rn FROM Atlantic_plate) tmp WHERE rn <= 3;"
determine total number win team mascot starting letter b,SELECT SUM(wins) FROM teams_mascots WHERE mascot LIKE 'B%';
daily count average number malware threat african threat intelligence source,"SELECT date, COUNT(*) as total_threats, AVG(category = 'malware'::int) as avg_malware FROM threat_intel WHERE source = 'African Threat Intelligence' GROUP BY date ORDER BY date;"
find total number flu vaccination administered adult 65 year old grouped state year 2021,"SELECT state, SUM(quantity) as total_vaccinations FROM vaccinations WHERE vaccine_type = 'Flu' AND age > 65 AND year = 2021 GROUP BY state;"
minimum ocean acidity level arctic ocean,SELECT MIN(acidity) FROM ocean_acidity WHERE ocean = 'Arctic';
display organization social impact score 80 along respective score,"SELECT name, social_impact_score FROM Organizations WHERE social_impact_score > 80;"
total cost economic diversification project nigeria 2018 2019,SELECT SUM(cost) FROM economic_diversification WHERE country = 'Nigeria' AND (year = 2018 OR year = 2019);
average mass spacecraft manufactured spaceforall organization,SELECT AVG(mass) FROM SpacecraftManufacturing WHERE manufacturer = 'SpaceForAll';
number flu case reported country 2020,"SELECT country, year, COUNT(*) as num_cases FROM flu_cases WHERE year = 2020 GROUP BY country, year;"
many agricultural innovation project india budget greater 50000 dollar,SELECT COUNT(*) FROM agricultural_innovation_projects WHERE budget > 50000 AND country = 'India';
total number unsuccessful authentication attempt user admin username,SELECT COUNT(*) FROM AuthenticationLogs WHERE username LIKE '%admin%' AND authentication_status = 'Failed';
total number security incident recorded south america,SELECT COUNT(*) FROM security_incidents WHERE region = 'South America';
minimum absolute magnitude btype star,"SELECT spectral_type, MIN(absolute_magnitude) as min_absolute_magnitude FROM Stars WHERE spectral_type = 'B1V' GROUP BY spectral_type;"
many marine mammal strandings occurred last 3 month,SELECT COUNT(*) FROM strandings WHERE date >= (SELECT date FROM (SELECT date FROM strandings ORDER BY date DESC LIMIT 1) subquery) - INTERVAL '3 months';
minimum budget allocated ethical ai project european country,SELECT MIN(EthicalAIBudget.Budget) AS MinBudget FROM EthicalAIBudget INNER JOIN Countries ON EthicalAIBudget.Country = Countries.Country WHERE Countries.Continent = 'Europe';
many gold medal united state winter olympics categorized sport,"SELECT sport, COUNT(*) as gold_medals FROM winter_olympics WHERE nation = 'United States' AND medal = 'gold' GROUP BY sport;"
average weight male hockey player khl league play defense position,SELECT AVG(weight) FROM players WHERE position = 'Defense' AND league = 'KHL' AND gender = 'Male';
find top 2 visited cultural heritage site germany,"SELECT name, visitors FROM cultural_heritage_sites WHERE country = 'Germany' ORDER BY visitors DESC LIMIT 2;"
name spacecraft highest average speed,"SELECT Spacecraft FROM (SELECT Spacecraft, ROW_NUMBER() OVER (ORDER BY AverageSpeed DESC) AS Rank FROM SpacecraftSpeed) AS Subquery WHERE Rank = 1"
average risk score top 10 vulnerable system last 30 day,"SELECT AVG(risk_score) FROM (SELECT risk_score, ROW_NUMBER() OVER (ORDER BY risk_score DESC) rn FROM systems WHERE last_updated >= DATEADD(day, -30, GETDATE())) t WHERE rn <= 10;"
show rural infrastructure project completed last 3 year budget 500000 1 million including project name country budget,"SELECT project_name, country, budget FROM rural_infrastructure WHERE project_end_date >= DATEADD(year, -3, GETDATE()) AND budget BETWEEN 500000 AND 1000000;"
many sighting arctic ocean atlantic ocean,"SELECT COUNT(*) FROM whale_sightings WHERE ocean IN ('Arctic Ocean', 'Atlantic Ocean');"
total number virtual tour engaged user asia,SELECT SUM(users_engaged) FROM users INNER JOIN virtual_tours ON users.country = virtual_tours.title WHERE users.country = 'Asia';
many economic diversification project initiated argentina 2016 2017,SELECT COUNT(*) FROM Economic_Diversification_Argentina WHERE country = 'Argentina' AND (year = 2016 OR year = 2017);
total investment agricultural innovation kenya 2021,SELECT SUM(amount) FROM AgriculturalInvestments WHERE country = 'Kenya' AND investment_type = 'Agricultural Innovation' AND YEAR(start_date) = 2021;
minimum number virtual tour hotel germany adopted aibased customer service,SELECT MIN(num_virtual_tours) FROM hotels WHERE country = 'Germany' AND ai_customer_service = TRUE;
total revenue generated ota booking apac region last quarter,"SELECT SUM(revenue) FROM bookings WHERE region = 'APAC' AND booking_date >= DATEADD(quarter, -1, GETDATE());"
minimum salary employee identify native hawaiian pacific islander,SELECT MIN(Salary) FROM Employees WHERE Ethnicity = 'Native Hawaiian or Pacific Islander';
total number marine specie recorded pacific atlantic region,"SELECT COUNT(*) FROM marine_species WHERE region_id IN (1, 2);"
name deepest point atlantic ocean,SELECT name FROM ocean_trenches WHERE location = 'Atlantic Ocean' AND max_depth = (SELECT MAX(max_depth) FROM ocean_trenches WHERE location = 'Atlantic Ocean');
earliest launch date airbus aircraft,SELECT MIN(first_flight) FROM aircraft WHERE manufacturer = 'Airbus';
obesity rate male oceania 2021,SELECT Rate FROM Obesity WHERE Gender = 'Male' AND Continent = 'Oceania' AND Year = 2021;
total budget project seoul starting 2022,SELECT SUM(budget) FROM projects WHERE start_date BETWEEN '2022-01-01' AND '2022-12-31' AND location = 'Seoul';
online travel agency apac region highest revenue last quarter,"SELECT ota_name, MAX(revenue) FROM ota_revenue WHERE region = 'APAC' AND quarter IN ('Q1 2022', 'Q2 2022') GROUP BY ota_name;"
baseball team highest batting average,SELECT team_name FROM Teams WHERE batting_average = (SELECT MAX(batting_average) FROM Teams);
show recent incident date category securityincidents table filtered 2022,"SELECT incident_category, incident_date FROM (SELECT incident_category, incident_date, ROW_NUMBER() OVER (PARTITION BY incident_category ORDER BY incident_date DESC) AS rank FROM SecurityIncidents WHERE incident_date >= '2022-01-01' AND incident_date <= '2022-12-31') AS filtered_incidents WHERE rank = 1;"
minimum age policyholder new jersey health policytype,SELECT MIN(age) FROM policyholders WHERE state = 'New Jersey' AND policy_type = 'Health';
many training conducted last 6 month topic,"SELECT topic, COUNT(*) as count FROM trainings WHERE date >= DATE_SUB(CURRENT_DATE, INTERVAL 6 MONTH) GROUP BY topic;"
total number flight hour aircraft 500 unit manufactured,SELECT SUM(hours_flown) FROM aircraft_and_flight_hours WHERE units_manufactured > 500;
many organization updated ai ethic policy last year,"SELECT COUNT(org_name) FROM ai_ethics_policies WHERE last_update >= DATEADD(year, -1, GETDATE());"
many economic diversification effort successful south america,SELECT COUNT(*) FROM economic_diversification WHERE region = 'South America' AND success = 1;
